"LevelId
IntegerValue","Element
Type"
593147,"72"""
593177,"72"""
593178,"72"""
593147,"72"""
593178,"72"""
593178,"72"""
593177,"72"""
593147,"72"""
593178,"72"""
593179,"72"""
593147,"72"""
593177,"72"""
593178,"72"""
593147,"72"""
593178,"72"""
593178,"72"""
593177,"72"""
593147,"72"""
593178,"72"""
593179,"72"""
593177,"48"""
593177,"48"""
593178,"48"""
593178,"48"""
593147,"48"""
593147,"48"""
593179,"48"""
593147,"48"""
593178,"48"""
593179,"48"""
593178,"48"""
593147,"24"" Depth"
593177,"24"" Depth"
593178,"24"" Depth"
593177,"24"" Depth"
593147,"24"" Depth"
593178,"24"" Depth"
593147,"24"" Depth"
593178,"24"" Depth"
593179,"24"" Depth"
593177,"24"" Depth"
593178,"24"" Depth"
593179,"24"" Depth"
593147,"24"" Depth"
593178,"24"" Depth"
593179,"24"" Depth"
593178,"24"" Depth"
593147,"24""W x 40""H"
593147,"24""W x 40""H"
593177,"24""W x 40""H"
593177,"24""W x 40""H"
593178,"24""W x 40""H"
593178,"24""W x 40""H"
593177,"24""W x 40""H"
593177,"24""W x 40""H"
593147,"24""W x 40""H"
593147,"24""W x 40""H"
593178,"24""W x 40""H"
593178,"24""W x 40""H"
593147,"24""W x 40""H"
593147,"24""W x 40""H"
593178,"24""W x 40""H"
593178,"24""W x 40""H"
593179,"24""W x 40""H"
593179,"24""W x 40""H"
593177,"24""W x 40""H"
593177,"24""W x 40""H"
593177,"24""W x 40""H"
593177,"24""W x 40""H"
593178,"24""W x 40""H"
593178,"24""W x 40""H"
593178,"24""W x 40""H"
593178,"24""W x 40""H"
593178,"24""W x 40""H"
593178,"24""W x 40""H"
593147,"24""W x 40""H"
593147,"24""W x 40""H"
593147,"24""W x 40""H"
593147,"24""W x 40""H"
593179,"24""W x 40""H"
593179,"24""W x 40""H"
593147,"24""W x 40""H"
593147,"24""W x 40""H"
593178,"24""W x 40""H"
593178,"24""W x 40""H"
593179,"24""W x 40""H"
593179,"24""W x 40""H"
593178,"24""W x 40""H"
593178,"24""W x 40""H"
593147,"27""W x 28""H"
593147,"27""W x 28""H"
593177,"27""W x 28""H"
593177,"27""W x 28""H"
593178,"27""W x 28""H"
593178,"27""W x 28""H"
593177,"27""W x 28""H"
593177,"27""W x 28""H"
593147,"27""W x 28""H"
593147,"27""W x 28""H"
593178,"27""W x 28""H"
593178,"27""W x 28""H"
593147,"27""W x 28""H"
593147,"27""W x 28""H"
593178,"27""W x 28""H"
593178,"27""W x 28""H"
593179,"27""W x 28""H"
593179,"27""W x 28""H"
593177,"27""W x 28""H"
593177,"27""W x 28""H"
593177,"27""W x 28""H"
593177,"27""W x 28""H"
593178,"27""W x 28""H"
593178,"27""W x 28""H"
593178,"27""W x 28""H"
593178,"27""W x 28""H"
593178,"27""W x 28""H"
593178,"27""W x 28""H"
593147,"27""W x 28""H"
593147,"27""W x 28""H"
593147,"27""W x 28""H"
593147,"27""W x 28""H"
593179,"27""W x 28""H"
593179,"27""W x 28""H"
593147,"27""W x 28""H"
593147,"27""W x 28""H"
593178,"27""W x 28""H"
593178,"27""W x 28""H"
593179,"27""W x 28""H"
593179,"27""W x 28""H"
593178,"27""W x 28""H"
593178,"27""W x 28""H"
593177,"24"" Depth"
593177,"24"" Depth"
593178,"24"" Depth"
593178,"24"" Depth"
593147,"24"" Depth"
593147,"24"" Depth"
593179,"24"" Depth"
593147,"24"" Depth"
593178,"24"" Depth"
593179,"24"" Depth"
593178,"24"" Depth"
593177,"30"""
593178,"30"""
593178,"30"""
593147,"30"""
593147,"30"""
593179,"30"""
593147,"30"""
593178,"30"""
593179,"30"""
593176,"3' 7 1/2"" Height"
593176,3' Height
593176,"36"""
593176,"27"""
593176,"18"" Depth"
633454,"5/8"" GWB on Mtl. Stud"
633454,"5/8"" GWB on Mtl. Stud"
633454,"5/8"" GWB on Mtl. Stud"
593142,"5/8"" GWB on Mtl. Stud"
593177,"5/8"" GWB on Mtl. Stud"
593147,"5/8"" GWB on Mtl. Stud"
593147,"5/8"" GWB on Mtl. Stud"
593176,"5/8"" GWB on Mtl. Stud"
593176,"5/8"" GWB on Mtl. Stud"
593176,"5/8"" GWB on Mtl. Stud"
633454,"5/8"" GWB on Mtl. Stud"
633454,"5/8"" GWB on Mtl. Stud"
633454,"5/8"" GWB on Mtl. Stud"
633454,"5/8"" GWB on Mtl. Stud"
633454,"5/8"" GWB on Mtl. Stud"
633454,"5/8"" GWB on Mtl. Stud"
633454,"5/8"" GWB on Mtl. Stud"
593142,"5/8"" GWB on Mtl. Stud"
593142,"5/8"" GWB on Mtl. Stud"
593177,"5/8"" GWB on Mtl. Stud"
593177,"5/8"" GWB on Mtl. Stud"
593147,"5/8"" GWB on Mtl. Stud"
593147,"5/8"" GWB on Mtl. Stud"
593147,"5/8"" GWB on Mtl. Stud"
633454,"5/8"" GWB on Mtl. Stud"
593179,"5/8"" GWB on Mtl. Stud"
593178,"5/8"" GWB on Mtl. Stud"
593147,"5/8"" GWB on Mtl. Stud"
593177,"5/8"" GWB on Mtl. Stud"
593142,"5/8"" GWB on Mtl. Stud"
593142,"5/8"" GWB on Mtl. Stud"
593179,"5/8"" GWB on Mtl. Stud"
593177,"5/8"" GWB on Mtl. Stud"
593147,"5/8"" GWB on Mtl. Stud"
593178,"5/8"" GWB on Mtl. Stud"
593177,"5/8"" GWB on Mtl. Stud"
593178,"5/8"" GWB on Mtl. Stud"
593179,"5/8"" GWB on Mtl. Stud"
593177,Exterior Soffit
593177,Exterior Soffit
593177,Exterior Soffit
633454,Exterior Soffit
593142,"5/8"" GWB on Mtl. Stud (Window Surround)"
593142,"5/8"" GWB on Mtl. Stud (Window Surround)"
593147,"5/8"" GWB on Mtl. Stud (Window Surround)"
593147,"5/8"" GWB on Mtl. Stud (Window Surround)"
593147,"5/8"" GWB on Mtl. Furring"
593177,"5/8"" GWB on Mtl. Furring"
593178,"5/8"" GWB on Mtl. Furring"
593147,"5/8"" GWB on Mtl. Furring"
593179,"5/8"" GWB on Mtl. Furring"
593178,"5/8"" GWB on Mtl. Furring"
593179,"5/8"" GWB on Mtl. Furring"
593178,"5/8"" GWB on Mtl. Furring"
593177,"5/8"" GWB on Mtl. Furring"
593178,"5/8"" GWB on Mtl. Furring"
593177,"5/8"" GWB on Mtl. Furring"
593147,"5/8"" GWB on Mtl. Furring"
593179,"5/8"" GWB on Mtl. Furring"
593147,"5/8"" GWB on Mtl. Furring"
593177,"5/8"" GWB on Mtl. Furring"
593178,"5/8"" GWB on Mtl. Furring"
593147,"5/8"" GWB on Mtl. Furring"
593178,"5/8"" GWB on Mtl. Furring"
593147,"5/8"" GWB on Mtl. Furring"
593178,"5/8"" GWB on Mtl. Furring"
593178,"5/8"" GWB on Mtl. Furring"
593176,"5/8"" GWB on Mtl. Furring"
633454,Flex
633454,Flex
633454,Flex
633454,Flex
593177,"4"" Diameter (Spiral Stair Post)"
593178,"4"" Diameter (Spiral Stair Post)"
633454,"24""D x 24""W"
633454,"24""D x 24""W"
633454,"24""D x 24""W"
593176,"24""D x 24""W"
593176,"24""D x 24""W"
633454,"24""D x 24""W"
633454,"24""D x 24""W"
633454,"24""D x 24""W"
593142,"24""D x 24""W"
593142,"24""D x 24""W"
593142,"24""D x 24""W"
593142,"24""D x 24""W"
593176,"24""D x 24""W"
633454,"24""D x 24""W"
633454,"24""D x 24""W"
593178,"24""D x 24""W"
593178,"24""D x 24""W"
593178,"24""D x 24""W"
593178,"24""D x 24""W"
593178,"24""D x 24""W"
593178,"24""D x 24""W"
593178,"24""D x 24""W"
593178,"24""D x 24""W"
593178,"24""D x 24""W"
593178,"24""D x 24""W"
593147,"24""D x 24""W"
593147,"24""D x 24""W"
593147,"24""D x 24""W"
593147,"24""D x 24""W"
593178,"24""D x 24""W"
593178,"24""D x 24""W"
593178,"24""D x 24""W"
593178,"24""D x 24""W"
593179,"24""D x 24""W"
593179,"24""D x 24""W"
593178,"24""D x 24""W"
593178,"24""D x 24""W"
593178,"24""D x 24""W"
593178,"24""D x 24""W"
593178,"24""D x 24""W"
593179,"24""D x 24""W"
593179,"24""D x 24""W"
593179,"24""D x 24""W"
593179,"24""D x 24""W"
593179,"24""D x 24""W"
593179,"24""D x 24""W"
593179,"24""D x 24""W"
593179,"24""D x 24""W"
593179,"24""D x 24""W"
593147,"24""D x 24""W"
593147,"24""D x 24""W"
593147,"24""D x 24""W"
593147,"24""D x 24""W"
593176,"24""D x 24""W"
593147,"24""D x 24""W"
593147,"24""D x 24""W"
593147,"24""D x 24""W"
593177,"24""D x 24""W"
593177,"24""D x 24""W"
593177,"24""D x 24""W"
593147,"24""D x 24""W"
593147,"24""D x 24""W"
593176,"24""D x 24""W"
593177,"24""D x 24""W"
593177,"24""D x 24""W"
593147,"24""D x 24""W"
612792,"24""D x 24""W"
612792,"24""D x 24""W"
612792,"24""D x 24""W"
612792,"24""D x 24""W"
612792,"24""D x 24""W"
612792,"24""D x 24""W"
612792,"24""D x 24""W"
612792,"24""D x 24""W"
612792,"24""D x 24""W"
612792,"24""D x 24""W"
612792,"24""D x 24""W"
612792,"24""D x 24""W"
612792,"24""D x 24""W"
593147,"24""D x 24""W"
593147,"24""D x 24""W"
593176,"24""D x 24""W"
593177,"24""D x 24""W"
593147,"24""D x 24""W"
593178,"24""D x 24""W"
593179,"24""D x 24""W"
593176,"24""D x 24""W"
828874,"24""D x 24""W"
593176,"24""D x 24""W"
828874,"24""D x 24""W"
593178,"18""D x 24""W"
593178,"18""D x 18""W"
633454,"18""D x 18""W"
593178,"24""D x 22""W"
593179,"24""D x 22""W"
633454,"24""D x 22""W"
593177,"24""D x 22""W"
593178,"24""D x 22""W"
593147,"24""D x 22""W"
593178,"32""D x 24""W"
593179,"32""D x 24""W"
593147,"32""D x 24""W"
633454,"24""D x 20""W"
593177,"24""D x 20""W"
593147,"24""D x 20""W"
633454,"20""D x 24""W"
633454,"20""D x 24""W"
593178,"24""D x 19""W"
964417,Pergola Post - Front
964417,Pergola Post - Front
964417,Pergola Post - Rear
964417,Pergola Post - Rear
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593179,Glazed
593179,Glazed
593179,Glazed
593179,Glazed
593179,Glazed
593179,Glazed
593179,Glazed
593179,Glazed
593179,Glazed
593179,Glazed
593179,Glazed
593179,Glazed
593179,Glazed
593179,Glazed
593179,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593179,Glazed
593179,Glazed
593179,Glazed
593147,Glazed
593147,Glazed
593147,Glazed
593147,Glazed
593147,Glazed
593147,Glazed
593147,Glazed
593147,Glazed
593147,Glazed
593147,Glazed
593147,Glazed
593147,Glazed
593147,Glazed
593147,Glazed
593179,Glazed
593179,Glazed
593179,Glazed
593179,Glazed
593179,Glazed
593179,Glazed
593179,Glazed
593179,Glazed
593179,Glazed
633454,Glazed
633454,Glazed
633454,Glazed
633454,Glazed
633454,Glazed
633454,Glazed
633454,Glazed
633454,Glazed
633454,Glazed
633454,Glazed
633454,Glazed
633454,Glazed
633454,Glazed
633454,Glazed
633454,Glazed
633454,Glazed
633454,Glazed
633454,Glazed
633454,Glazed
633454,Glazed
593142,Glazed
593177,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593177,Glazed
593177,Glazed
593177,Glazed
593177,Glazed
593177,Glazed
593177,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593177,Glazed
593177,Glazed
593177,Glazed
593177,Glazed
593177,Glazed
593177,Glazed
593177,Glazed
593177,Glazed
593177,Glazed
593177,Glazed
593177,Glazed
593177,Glazed
593177,Glazed
593177,Glazed
593177,Glazed
593177,Glazed
593177,Glazed
593177,Glazed
593177,Glazed
593177,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593142,Glazed
593147,Glazed
593147,Glazed
593147,Glazed
593147,Glazed
593176,Glazed
593176,Glazed
593176,Glazed
593176,Glazed
593176,Glazed
593176,Glazed
593176,Glazed
593176,Glazed
593176,Glazed
593176,Glazed
593176,Glazed
593176,Glazed
593176,Glazed
593176,Glazed
593176,Glazed
593176,Glazed
593176,Glazed
593176,Glazed
593176,Glazed
593176,Glazed
593176,Glazed
593176,Glazed
593176,Glazed
593176,Glazed
593179,Glazed
593179,Glazed
593179,Glazed
593177,Glazed
593177,Glazed
593177,Glazed
593147,Solid
593147,Solid
593147,Solid
593147,Solid
633454,Solid
633454,Solid
633454,Solid
633454,Solid
633454,Solid
633454,Solid
633454,Solid
633454,Solid
633454,Solid
633454,Solid
633454,Solid
633454,Solid
633454,Solid
633454,Solid
593142,Solid
593142,Solid
593142,Solid
593142,Solid
593142,Solid
593142,Solid
593177,Solid
593177,Solid
593177,Solid
593177,Solid
593177,Solid
593177,Solid
593177,Solid
593147,Solar Wall Edges
593147,Solar Wall Edges
593147,Solar Wall Edges
593147,Solar Wall Edges
593147,Solar Wall Edges
593147,Solar Wall Edges
593147,Solar Wall Edges
593147,Solar Wall Edges
593147,Solar Wall Edges
593147,Solar Wall Edges
593147,Solar Wall Edges
593147,Solar Wall Edges
593147,Solar Wall Edges
593147,Solar Wall Edges
593147,Solar Wall Edges
593147,Solar Wall Edges
593147,Solar Wall Edges
593147,Solar Wall Edges
593147,Solar Wall Edges
593147,Solar Wall Edges
593147,Solar Wall Edges
593147,Solar Wall Edges
